_id,title,URLs,Working Link,Old Links
bioportal-nif_dysfunction,NIF Dysfunction,https://lod-cloud.net/dataset/bioportal-nif_dysfunction,https://bioportal.bioontology.org/ontologies/NIFDYS,http://bioportal.bioontology.org/ontologies/1381
bioportal-nmr,NMR-instrument specific component of metabolomics investigations,https://lod-cloud.net/dataset/bioportal-nmr,https://old.datahub.io/zh_TW/dataset/bioportal-nmr,http://bioportal.bioontology.org/ontologies/1033
bioportal-npo,NanoParticle Ontology,https://lod-cloud.net/dataset/bioportal-npo,https://bioportal.bioontology.org/ontologies/NPO,http://bioportal.bioontology.org/ontologies/1083
bioportal-oae,Ontology of Adverse Events (OAE),https://lod-cloud.net/dataset/bioportal-oae,https://bioportal.bioontology.org/ontologies/OAE,http://bioportal.bioontology.org/ontologies/1489
bioportal-obi,Ontology for Biomedical Investigations,https://lod-cloud.net/dataset/bioportal-obi,https://bioportal.bioontology.org/ontologies/OBI,http://bioportal.bioontology.org/ontologies/1123
bioportal-ocre,Ontology of Clinical Research (OCRe),https://lod-cloud.net/dataset/bioportal-ocre,not found,http://bioportal.bioontology.org/ontologies/1076
bioportal-odgi,Ontology for disease genetic investigation,https://lod-cloud.net/dataset/bioportal-odgi,https://bioportal.bioontology.org/ontologies/OGDI,http://bioportal.bioontology.org/ontologies/1086
bioportal-ogi,Ontology for Genetic Interval,https://lod-cloud.net/dataset/bioportal-ogi,https://bioportal.bioontology.org/ontologies/OGI,http://bioportal.bioontology.org/ontologies/1100
bioportal-ogms,Ontology for General Medical Science,https://lod-cloud.net/dataset/bioportal-ogms,https://bioportal.bioontology.org/ontologies/OGMS,http://bioportal.bioontology.org/ontologies/1414
bioportal-omrse,Ontology of Medically Related Social Entities,https://lod-cloud.net/dataset/bioportal-omrse,,http://bioportal.bioontology.org/ontologies/1565
bioportal-ontodm,Ontology of Data Mining,https://lod-cloud.net/dataset/bioportal-ontodm,,http://bioportal.bioontology.org/ontologies/1638
bioportal-ontodt,Ontology of General Purpose Datatypes,https://lod-cloud.net/dataset/bioportal-ontodt,https://bioportal.bioontology.org/ontologies/ONTODT,http://bioportal.bioontology.org/ontologies/1588
bioportal-opl,Ontology for Parasite LifeCycle,https://lod-cloud.net/dataset/bioportal-opl,https://bioportal.bioontology.org/ontologies/OPL,http://bioportal.bioontology.org/ontologies/1190
bioportal-pato,Phenotypic quality,https://lod-cloud.net/dataset/bioportal-pato,https://bioportal.bioontology.org/ontologies/PATO,http://bioportal.bioontology.org/ontologies/1107
