title,id,Keywords,sescription,URL,sub classification,owl link
Single cell RNA-seq of human breast skin cells ,,,A k-mer derived Dataset,https://www.kaggle.com/datasets/tavoglc/single-cell-rnaseq-of-human-breast-skin-cells,,
Domain-Independent Sentiment Dataset - English,,,,https://www.kaggle.com/datasets/fatimahz/domain-independent-sentiment-dataset-english,,
sRNA sequencing - Brain (GSE75140),,,sRNA sequencing of human cerebral organoids and fetal neocortex,https://www.kaggle.com/datasets/usharengaraju/crimeagainstwomen,,
Circadian Rhythm in the Brain,,,Fluorescence signal from the circadian regulation region of the brain,https://www.kaggle.com/datasets/kmader/circadian-rhythm-in-the-brain,,
Physical Gene Regulatory Networks in C.elegans,,,"239,001 Regulatory Interactions from 289 Wild-type Young Adult Datasets",https://www.kaggle.com/datasets/thedevastator/physical-gene-regulatory-networks-in-c-elegans,,
"KEGG genomes, networks, diseases and drugs",,,"genomes, networks, diseases and drugs dataset",https://www.kaggle.com/datasets/aliabedimadiseh/kegg-genomes-networks-diseases-and-drugs,,
Cancer Statistics in US States,,, NKI Breast Cancer Data,https://www.kaggle.com/datasets/nancyalaswad90/cancer-statistics-in-us-states,,
Mining CORD-19 corpus for biomedical associations ,,,Annotating the CORD-19 corpus using NER and extracting correlations as a network,https://www.kaggle.com/datasets/saipradeepvg/cord19,,
ICMR Dataset,,,Indian Council of Medical Research,https://www.kaggle.com/datasets/shibumohapatra/icmr-data,,
Hippocampal Gene Expression for Long-Term Memory,,,Understanding Transcription and Synaptic Regulation,https://www.kaggle.com/datasets/thedevastator/hippocampal-gene-expression-for-long-term-memory,,
Human gut microbiome of the children with ASD ,,,Dataset includes 16S rRNA gene sequencing and metagenomics ,https://www.kaggle.com/datasets/antaresnyc/human-gut-microbiome-with-asd,,
P001. ML Course KU 3927-23-00-00,,,Predicting cell type using chromatin accessibility,https://www.kaggle.com/datasets/cameronmacpherson/ml-course-ku-3927220000-p001,,
HW6-Generative Adversarial Network,,,一些卡通头像，用来进行作业6的练习，训练GAN。,https://www.kaggle.com/datasets/wenzonghui/hw6generative-adversarial-network,,
op2-single-cell-perturbations-tabmodnn-embeddings,,,Embedding Features for the Open Problems – Single-Cell Perturbations Competition,https://www.kaggle.com/datasets/frenio/op2-single-cell-perturbations-tabmodnn-embeddings,,
ALS Bulbar vs. Limb Network for top-ranked genes,,,,https://www.kaggle.com/datasets/robin3714/als-bulbar-vs-limb-network-for-topranked-genes,,
Protein Protein Interactions Networks,,,Protein Protein Interactions Networks and related data,https://www.kaggle.com/datasets/alexandervc/protein-protein-interactions,,
GPU-Efficient-Networks (GENet),,,,https://www.kaggle.com/datasets/evgeniyzh/gpuefficientnetworks-genet,,
12 Generating Small World Network in R,,,,https://www.kaggle.com/datasets/vashugupta0298/12-generating-small-world-network-in-r,,
Generative Adverserial Networks,,,,https://www.kaggle.com/datasets/taimourmourad/generative-adverserial-networks,,
BDTNP Virtual Embryo,,,Gene expression in the early Drosophila embryo,https://www.kaggle.com/datasets/ilsley/bdtnp-embryo,,
Network Traffic Analysis generated by Wireshark,,,Network Traffic Analysis generated by Wireshark to analyse & check Real-Time,https://www.kaggle.com/datasets/hosamzolfonoon/network-traffic-analysis-generated-by-wireshark,,
Breast Cancer Proteomes,,,Dividing breast cancer patients into separate sub-classes,https://www.kaggle.com/datasets/piotrgrabo/breastcancerproteomes,,
Raw mouse mammary RNA-Seq data (fastq),,,Raw mouse mammary RNA-Seq data (fastq),https://www.kaggle.com/datasets/usharengaraju/electedindianwomeninpanchayats,,
Meme Generator Data Set,,,"86,310 total memes harvested from Meme Generator",https://www.kaggle.com/datasets/electron0zero/memegenerator-dataset,,
